game_id,feature_set,feature_influence,fanova_setting,entity,explanation,feature_value,explanation/feature_value
0,"(0,)",pure,c,individual,4.324078213018438,1.0,4.324078213018438
0,"(1,)",pure,c,individual,4.323590303664828,1.0,4.323590303664828
0,"(2,)",pure,c,individual,4.32319102500115,1.0,4.32319102500115
0,"(3,)",pure,c,individual,3.5631416446874393,1.0,3.5631416446874393
0,"(1, 2)",pure,c,individual,5.559427997504983,1.0,5.559427997504983
0,"(1, 2, 3)",pure,c,individual,5.562961093046863,1.0,5.562961093046863
0,"(0,)",pure,c,joint,4.324078213018438,1.0,4.324078213018438
0,"(1,)",pure,c,joint,4.323590303664828,1.0,4.323590303664828
0,"(2,)",pure,c,joint,4.32319102500115,1.0,4.32319102500115
0,"(3,)",pure,c,joint,3.5631416446874393,1.0,3.5631416446874393
0,"(1, 2)",pure,c,joint,5.559427997504983,1.0,5.559427997504983
0,"(1, 2, 3)",pure,c,joint,5.562961093046863,1.0,5.562961093046863
0,"(0,)",pure,c,interaction,4.324078213018438,1.0,4.324078213018438
0,"(1,)",pure,c,interaction,4.323590303664828,1.0,4.323590303664828
0,"(2,)",pure,c,interaction,4.32319102500115,1.0,4.32319102500115
0,"(3,)",pure,c,interaction,3.5631416446874393,1.0,3.5631416446874393
0,"(1, 2)",pure,c,interaction,-3.087353331160994,1.0,-3.087353331160994
0,"(1, 2, 3)",pure,c,interaction,2.202415586232304,1.0,2.202415586232304
0,"(0,)",pure,b,individual,2.0263038992506015,1.0,2.0263038992506015
0,"(1,)",pure,b,individual,2.0188978387245924,1.0,2.0188978387245924
0,"(2,)",pure,b,individual,2.021134719344765,1.0,2.021134719344765
0,"(3,)",pure,b,individual,0.0,1.0,0.0
0,"(1, 2)",pure,b,individual,4.040032558069357,1.0,4.040032558069357
0,"(1, 2, 3)",pure,b,individual,4.040032558069357,1.0,4.040032558069357
0,"(0,)",pure,b,joint,2.0263038992506015,1.0,2.0263038992506015
0,"(1,)",pure,b,joint,2.0188978387245924,1.0,2.0188978387245924
0,"(2,)",pure,b,joint,2.021134719344765,1.0,2.021134719344765
0,"(3,)",pure,b,joint,0.0,1.0,0.0
0,"(1, 2)",pure,b,joint,4.040032558069357,1.0,4.040032558069357
0,"(1, 2, 3)",pure,b,joint,4.040032558069357,1.0,4.040032558069357
0,"(0,)",pure,b,interaction,2.0263038992506015,1.0,2.0263038992506015
0,"(1,)",pure,b,interaction,2.0188978387245924,1.0,2.0188978387245924
0,"(2,)",pure,b,interaction,2.021134719344765,1.0,2.021134719344765
0,"(3,)",pure,b,interaction,0.0,1.0,0.0
0,"(1, 2)",pure,b,interaction,-4.440892098500626e-16,1.0,-4.440892098500626e-16
0,"(1, 2, 3)",pure,b,interaction,4.440892098500626e-16,1.0,4.440892098500626e-16
0,"(0,)",pure,m,individual,2.026303899250609,1.0,2.026303899250609
0,"(1,)",pure,m,individual,2.0188978387245786,1.0,2.0188978387245786
0,"(2,)",pure,m,individual,2.0211347193447606,1.0,2.0211347193447606
0,"(3,)",pure,m,individual,0.0,1.0,0.0
0,"(1, 2)",pure,m,individual,4.040032558069377,1.0,4.040032558069377
0,"(1, 2, 3)",pure,m,individual,4.040032558069377,1.0,4.040032558069377
0,"(0,)",pure,m,joint,2.026303899250609,1.0,2.026303899250609
0,"(1,)",pure,m,joint,2.0188978387245786,1.0,2.0188978387245786
0,"(2,)",pure,m,joint,2.0211347193447606,1.0,2.0211347193447606
0,"(3,)",pure,m,joint,0.0,1.0,0.0
0,"(1, 2)",pure,m,joint,4.040032558069377,1.0,4.040032558069377
0,"(1, 2, 3)",pure,m,joint,4.040032558069377,1.0,4.040032558069377
0,"(0,)",pure,m,interaction,2.026303899250609,1.0,2.026303899250609
0,"(1,)",pure,m,interaction,2.0188978387245786,1.0,2.0188978387245786
0,"(2,)",pure,m,interaction,2.0211347193447606,1.0,2.0211347193447606
0,"(3,)",pure,m,interaction,0.0,1.0,0.0
0,"(1, 2)",pure,m,interaction,3.730349362740526e-14,1.0,3.730349362740526e-14
0,"(1, 2, 3)",pure,m,interaction,0.0,1.0,0.0
