game_id,feature_set,feature_influence,fanova_setting,entity,explanation,feature_value,explanation/feature_value
0,"(0,)",pure,c,individual,6.664934477989164,1.0,6.664934477989164
0,"(1,)",pure,c,individual,6.665079628618319,1.0,6.665079628618319
0,"(2,)",pure,c,individual,6.686983683456174,1.0,6.686983683456174
0,"(3,)",pure,c,individual,6.646746804733599,1.0,6.646746804733599
0,"(1, 2)",pure,c,individual,6.835323520323954,1.0,6.835323520323954
0,"(1, 2, 3)",pure,c,individual,6.747560549316519,1.0,6.747560549316519
0,"(0,)",pure,c,joint,6.664934477989164,1.0,6.664934477989164
0,"(1,)",pure,c,joint,6.665079628618319,1.0,6.665079628618319
0,"(2,)",pure,c,joint,6.686983683456174,1.0,6.686983683456174
0,"(3,)",pure,c,joint,6.646746804733599,1.0,6.646746804733599
0,"(1, 2)",pure,c,joint,6.835323520323954,1.0,6.835323520323954
0,"(1, 2, 3)",pure,c,joint,6.747560549316519,1.0,6.747560549316519
0,"(0,)",pure,c,interaction,6.664934477989164,1.0,6.664934477989164
0,"(1,)",pure,c,interaction,6.665079628618319,1.0,6.665079628618319
0,"(2,)",pure,c,interaction,6.686983683456174,1.0,6.686983683456174
0,"(3,)",pure,c,interaction,6.646746804733599,1.0,6.646746804733599
0,"(1, 2)",pure,c,interaction,-6.516739791750537,1.0,-6.516739791750537
0,"(1, 2, 3)",pure,c,interaction,6.272289010043019,1.0,6.272289010043019
0,"(0,)",pure,b,individual,2.0084627350177975,1.0,2.0084627350177975
0,"(1,)",pure,b,individual,2.0170523732859373,1.0,2.0170523732859373
0,"(2,)",pure,b,individual,2.0239945684450626,1.0,2.0239945684450626
0,"(3,)",pure,b,individual,0.0,1.0,0.0
0,"(1, 2)",pure,b,individual,4.0284536638192305,1.0,4.0284536638192305
0,"(1, 2, 3)",pure,b,individual,4.0284536638192305,1.0,4.0284536638192305
0,"(0,)",pure,b,joint,2.0084627350177975,1.0,2.0084627350177975
0,"(1,)",pure,b,joint,2.0170523732859373,1.0,2.0170523732859373
0,"(2,)",pure,b,joint,2.0239945684450626,1.0,2.0239945684450626
0,"(3,)",pure,b,joint,0.0,1.0,0.0
0,"(1, 2)",pure,b,joint,4.0284536638192305,1.0,4.0284536638192305
0,"(1, 2, 3)",pure,b,joint,4.0284536638192305,1.0,4.0284536638192305
0,"(0,)",pure,b,interaction,2.0084627350177975,1.0,2.0084627350177975
0,"(1,)",pure,b,interaction,2.0170523732859373,1.0,2.0170523732859373
0,"(2,)",pure,b,interaction,2.0239945684450626,1.0,2.0239945684450626
0,"(3,)",pure,b,interaction,0.0,1.0,0.0
0,"(1, 2)",pure,b,interaction,-0.012593277911769452,1.0,-0.012593277911769452
0,"(1, 2, 3)",pure,b,interaction,0.0,1.0,0.0
0,"(0,)",pure,m,individual,2.050616801419215,1.0,2.050616801419215
